;;;;;Pregunta 1;;;;;;;;;;;;;;;;;;Pregunta 2;;;;;Pregunta 3;Pregunta 4;;;Pregunta 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pregunta 6;;;;;;Pregunta 7;;;;;;;;;;;;;;;;;;Pregunta 8;;;;;;;;;;;;;;;;;;Pregunta 9;;;;;;
Numero;Escuela;Edad;Género;Año cursa;Cocaína1;Marihuana1;Tabaco1;Popper1;Crack1;Alcohol1;Anfe metanfetaminas1;Alucinógenos1;Morfina1;Pasta base1;Energizantes1;Éxtasis1;Solventes1;Anabólicos1;Psicotrópicos1;Ketamina1;Otra ilícita1;Otra1;Salud;Económicos;Legales;FATE;Otros;Conocimiento;Familia;Escuela2;Otros3;Cocaína5;Edad cocaína;Marihuana5;Edad Marihuana;Tabaco5;Edad tabaco;Popper5;Edad Popper;Crack5;Edad Krack;Alcohol5;Edad alcohol;Anfe metanfetaminas5;Edad anfetaminas;Alucinógenos5;Edad alucinógenos;Morfina5;Edad morfina;Pasta base5;Edad pasta base;Energizantes5;Edad energizantes;Éxtasis5;Edad éxtasis;Solventes5;Edad solventes;Anabólicos5;Edad anabólicos;Psicotrópicos5;Edad psicot;Ketamina5;Edad ketamina;Otra ilícit5;Edad otra il;Otra5;Edad otra;Sentirse bien;Evadir;rend físico;presión;Curiosidad;Otros4;Cocaína7;Marihuana7;Tabaco7;Popper7;Crack7;Alcohol7;Anfe metanfetaminas7;Alucinógenos7;Morfina7;Pasta base7;Energizantes7;Éxtasis7;Solventes7;Anabólicos7;Psicotrópicos7;Ketamina7;Otra ilícita7;Otra7;Cocaína8;Marihuana8;Tabaco8;Popper8;Crack8;Alcohol8;Anfe metanfetaminas8;Alucinógenos8;Morfina8;Pasta base8;Energizantes8;Éxtasis8;Solventes8;Anabólicos8;Psicotrópicos8;Ketamina8;Otra ilícita8;Otra8;Todas las semanas;Cuales1;Una vez por semana;Cuales2;Mas de una por semana;Cuales3;Aclaraciones
35;2;16;F;3;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;;;SI;NO;SI;SI;;S;;SI;;;;;;;;;;;;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;SI;6;;;
36;2;16;M;3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO SE;SI;NO SE;NO SE;;;SI;NO SE;SI;;;S;SI;SI;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SI;;
37;2;15;F;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;SI;SI;SI;SI;;I;SI;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2;16;F;3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;SI;NO;NO;SI;;I;;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2;16;F;3;SI;SI;SI;NO SE;NO SE;NO;SI;SI;NO SE;NO SE;SI;SI;NO SE;SI;NO SE;NO SE;;;SI;SI;SI;SI;;S;SI;;;;;;;;;;;;;1;14;;;;;;;;;1;15;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;SI;6;
40;2;15;F;3;SI;SI;SI;NO SE;SI;SI;SI;SI;NO SE;SI;NO;SI;SI;NO;NO;SI;;;SI;SI;SI;SI;;S;;SI;;;;;;1;12;;;;;1;12;;;;;;;;;1;13;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;SI;3;;;
41;2;15;F;3;SI;NO;SI;NO SE;SI;SI;NO SE;NO SE;SI;SI;NO;SI;SI;NO SE;NO SE;NO SE;;;SI;NO;NO;SI;;;SI;;;;;1;15;1;14;;;;;1;;;;;;;;;;1;13;;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;1;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;SI;NC;;;
42;2;15;M;3;NO;NO;NO SE;NO;;SI;NO;NO SE;NO;NO;;NO;NO;NO;NO;NO;;;NO;NO;NO;NO SE;;S;;;;;;;;;;;;;;1;13;;;;;;;;;1;13;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;SI;6;
43;2;16;M;3;NO;SI;SI;NO;NO;SI;SI;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;SI;NO;SI;SI;;I;SI;;Doctor;;;1;15;1;14;;;;;1;12;1;15;1;16;;;;;1;13;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;1;;;1;1;;;;;;;;1;1;;;;;1;;;1;;;;;;;;;;SI;NC;;;
44;3;;;;SI;NO;SI;NO SE;NO SE;SI;SI;NO;NO SE;NO SE;;NO;SI;NO SE;NO SE;NO SE;;;NO;NO SE;NO SE;SI;;S;;SI;;1;16;1;14;1;15;;;;;1;13;;;1;16;;;;;1;;1;17;1;17;;;1;16;;;;;;;1;1;;;;;;1;1;;;1;;1;;;1;;1;;1;;;1;;1;1;;;1;;;;;1;;1;;1;;;;;;SI;NC;;;
45;3;25;F;3;SI;SI;SI;NO SE;NO SE;SI;NO SE;NO SE;NO SE;NO SE;NO SE;NO SE;NO SE;NO SE;NO SE;NO SE;;;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;3;17;F;3;SI;NO;NO;SI;SI;NO;SI;NO;SI;SI;NO;SI;SI;;;;;;NO;NO;SI;;;S;;;SI;1;15;1;14;1;11;;;;;1;14;;;1;16;;;;;1;10;;;1;16;;;;;;;;;;;;;;;;;1;1;1;;;1;;1;;;1;;;;;;;;1;1;1;;;1;;;;;;;;;;;;;SI;2, 3;SI;1;;;
47;3;19;M;3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;;SI;;;SI;NO SE;NO SE;NO SE;;S;SI;SI;;;;1;15;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;SI;6;;;
48;3;19;M;3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;;SI;NO SE;NO SE;SI;;S;;SI;;;;;;1;13;;;;;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;
49;3;23;M;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;SI;SI;SI;SI;;S;SI;;;;;;;;;;;;;1;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;3;17;F;3;SI;NO;SI;SI;SI;NO;NO SE;NO SE;SI;NO;NO;SI;SI;NO SE;NO SE;NO SE;;;SI;SI;SI;SI;;S;SI;SI;;;;1;17;1;13;;;;;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;1;;;;;1;;;;;;;;;;1;;;1;;;;;1;;;;;;;;;;SI;NC;;;
